[ 2013-01-27T00:53:52+08:00 ] /thinkmao/Admin.php/Goods/add_top_cate_show?pid=19 | INFO: Tag[ route_check ] --START--
[ 2013-01-27T00:53:52+08:00 ] /thinkmao/Admin.php/Goods/add_top_cate_show?pid=19 | INFO: Run CheckRoute Behavior [ RunTime:0.000159s ]
[ 2013-01-27T00:53:52+08:00 ] /thinkmao/Admin.php/Goods/add_top_cate_show?pid=19 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000390s ]
[ 2013-01-27T00:53:52+08:00 ] /thinkmao/Admin.php/Goods/add_top_cate_show?pid=19 | INFO: Tag[ app_begin ] --START--
[ 2013-01-27T00:53:52+08:00 ] /thinkmao/Admin.php/Goods/add_top_cate_show?pid=19 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000154s ]
[ 2013-01-27T00:53:52+08:00 ] /thinkmao/Admin.php/Goods/add_top_cate_show?pid=19 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000240s ]
[ 2013-01-27T00:53:52+08:00 ] /thinkmao/Admin.php/Goods/add_top_cate_show?pid=19 | SQL: SHOW COLUMNS FROM `hd_goods_type` [ RunTime:0.000911s ]
[ 2013-01-27T00:53:52+08:00 ] /thinkmao/Admin.php/Goods/add_top_cate_show?pid=19 | SQL: SELECT * FROM `hd_goods_type`  [ RunTime:0.000281s ]
[ 2013-01-27T00:53:52+08:00 ] /thinkmao/Admin.php/Goods/add_top_cate_show?pid=19 | INFO: Tag[ view_template ] --START--
[ 2013-01-27T00:53:52+08:00 ] /thinkmao/Admin.php/Goods/add_top_cate_show?pid=19 | INFO: Run LocationTemplate Behavior [ RunTime:0.000179s ]
[ 2013-01-27T00:53:52+08:00 ] /thinkmao/Admin.php/Goods/add_top_cate_show?pid=19 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000277s ]
[ 2013-01-27T00:53:52+08:00 ] /thinkmao/Admin.php/Goods/add_top_cate_show?pid=19 | INFO: Tag[ view_parse ] --START--
[ 2013-01-27T00:53:52+08:00 ] /thinkmao/Admin.php/Goods/add_top_cate_show?pid=19 | INFO: Run ParseTemplate Behavior [ RunTime:0.004391s ]
[ 2013-01-27T00:53:52+08:00 ] /thinkmao/Admin.php/Goods/add_top_cate_show?pid=19 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.004469s ]
[ 2013-01-27T00:53:52+08:00 ] /thinkmao/Admin.php/Goods/add_top_cate_show?pid=19 | INFO: Tag[ view_filter ] --START--
[ 2013-01-27T00:53:52+08:00 ] /thinkmao/Admin.php/Goods/add_top_cate_show?pid=19 | INFO: Run ContentReplace Behavior [ RunTime:0.000108s ]
[ 2013-01-27T00:53:52+08:00 ] /thinkmao/Admin.php/Goods/add_top_cate_show?pid=19 | INFO: Run TokenBuild Behavior [ RunTime:0.000058s ]
[ 2013-01-27T00:53:52+08:00 ] /thinkmao/Admin.php/Goods/add_top_cate_show?pid=19 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000030s ]
[ 2013-01-27T00:53:52+08:00 ] /thinkmao/Admin.php/Goods/add_top_cate_show?pid=19 | INFO: Run ShowRuntime Behavior [ RunTime:0.000070s ]
[ 2013-01-27T00:53:52+08:00 ] /thinkmao/Admin.php/Goods/add_top_cate_show?pid=19 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000358s ]
[ 2013-01-27T00:53:52+08:00 ] /thinkmao/Admin.php/Goods/add_top_cate_show?pid=19 | INFO: Tag[ view_end ] --START--
[ 2013-01-27T00:53:52+08:00 ] /thinkmao/Admin.php/Goods/add_top_cate_show?pid=19 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000038s ]
[ 2013-01-27T00:53:52+08:00 ] /thinkmao/Admin.php/Goods/add_top_cate_show?pid=19 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000066s ]
[ 2013-01-27T00:54:06+08:00 ] /thinkmao/Admin.php/Goods/add_top_cate_show?pid=15 | INFO: Tag[ route_check ] --START--
[ 2013-01-27T00:54:06+08:00 ] /thinkmao/Admin.php/Goods/add_top_cate_show?pid=15 | INFO: Run CheckRoute Behavior [ RunTime:0.000162s ]
