[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.000162s ]
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000504s ]
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000051s ]
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000076s ]
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ view_template ] --START--
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000036s ]
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000063s ]
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ view_parse ] --START--
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.003483s ]
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.003550s ]
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ view_filter ] --START--
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.000148s ]
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.000058s ]
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000030s ]
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000071s ]
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000391s ]
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ view_end ] --START--
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000039s ]
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000067s ]
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ route_check ] --START--
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Run CheckRoute Behavior [ RunTime:0.000071s ]
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ route_check ] --END-- [ RunTime:0.000185s ]
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ app_begin ] --START--
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000055s ]
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000086s ]
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ view_template ] --START--
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Run LocationTemplate Behavior [ RunTime:0.000040s ]
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ view_template ] --END-- [ RunTime:0.000072s ]
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ view_parse ] --START--
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Run ParseTemplate Behavior [ RunTime:0.001499s ]
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ view_parse ] --END-- [ RunTime:0.001552s ]
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ view_filter ] --START--
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Run ContentReplace Behavior [ RunTime:0.000078s ]
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Run TokenBuild Behavior [ RunTime:0.000059s ]
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000029s ]
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Run ShowRuntime Behavior [ RunTime:0.000069s ]
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000313s ]
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ view_end ] --START--
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Run ShowPageTrace Behavior [ RunTime:0.000039s ]
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ view_end ] --END-- [ RunTime:0.000068s ]
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Tag[ route_check ] --START--
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Run CheckRoute Behavior [ RunTime:0.000164s ]
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000397s ]
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Tag[ app_begin ] --START--
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000149s ]
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000229s ]
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Tag[ view_template ] --START--
[ 2013-01-23T00:44:12+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000104s ]
