[ 2013-01-30T10:01:13+08:00 ] /thinkmao/Index.php/Cart | SQL: SELECT goods.sell_num AS sell_num,goods.id AS gid,goods.name AS gname,goods.unit AS unit,goods.number AS number,goods.price AS price,goods.pic AS pic,goods.click AS click,goods.recommend AS recommend,goods.hot AS hot,goods.time AS time,goods.cid AS cid,goods.bid AS bid,goods.tid AS tid,goods.mprice AS mprice,goods_attr.id AS attrid,goods_attr.value AS value,goods_attr.price AS attr_price,type_attr.id AS attr_id,type_attr.name AS attr_name,type_attr.type AS type,brand.name AS brand_name,brand.logo AS logo,brand.hot AS hot_brand,goods_intro.mini AS mini,goods_intro.medium AS medium,goods_intro.max AS max,goods_intro.intro AS intro,goods_intro.service AS service,goods_list.id AS in_id,goods_list.inventory AS inventory,goods_list.attr AS attr_com,goods_list.number AS in_number,goods_list.series AS series,goods_list.price AS in_price FROM hd_goods goods LEFT JOIN hd_goods_attr goods_attr ON goods_attr.gid =goods.id LEFT JOIN hd_type_attr type_attr ON goods_attr.aid = type_attr.id  JOIN hd_brand brand ON goods.bid = brand.id  JOIN hd_goods_intro goods_intro ON goods.id = goods_intro.gid  JOIN hd_goods_list goods_list ON goods.id = goods_list.gid WHERE ( goods.id = '13' )  [ RunTime:0.002958s ]
[ 2013-01-30T10:01:13+08:00 ] /thinkmao/Index.php/Cart | NOTIC: [8] Undefined offset: 173 common.php 第 146 行.
[ 2013-01-30T10:01:13+08:00 ] /thinkmao/Index.php/Cart | NOTIC: [8] Undefined offset: 174 common.php 第 146 行.
[ 2013-01-30T10:01:13+08:00 ] /thinkmao/Index.php/Cart | NOTIC: [8] Undefined offset: 175 common.php 第 146 行.
[ 2013-01-30T10:01:13+08:00 ] /thinkmao/Index.php/Cart | NOTIC: [8] Undefined offset: 176 common.php 第 146 行.
[ 2013-01-30T10:01:13+08:00 ] /thinkmao/Index.php/Cart | NOTIC: [8] Undefined offset: 177 common.php 第 146 行.
[ 2013-01-30T10:01:13+08:00 ] /thinkmao/Index.php/Cart | NOTIC: [8] Undefined offset: 178 common.php 第 146 行.
[ 2013-01-30T10:01:13+08:00 ] /thinkmao/Index.php/Cart | NOTIC: [8] Undefined offset: 179 common.php 第 146 行.
[ 2013-01-30T10:01:13+08:00 ] /thinkmao/Index.php/Cart | NOTIC: [8] Undefined offset: 180 common.php 第 146 行.
[ 2013-01-30T10:01:13+08:00 ] /thinkmao/Index.php/Cart | NOTIC: [8] Undefined offset: 181 common.php 第 146 行.
[ 2013-01-30T10:01:13+08:00 ] /thinkmao/Index.php/Cart | NOTIC: [8] Undefined offset: 182 common.php 第 146 行.
[ 2013-01-30T10:01:13+08:00 ] /thinkmao/Index.php/Cart | NOTIC: [8] Undefined offset: 183 common.php 第 146 行.
[ 2013-01-30T10:01:13+08:00 ] /thinkmao/Index.php/Cart | NOTIC: [8] Undefined offset: 184 common.php 第 146 行.
[ 2013-01-30T10:01:13+08:00 ] /thinkmao/Index.php/Cart | NOTIC: [8] Undefined offset: 185 common.php 第 146 行.
[ 2013-01-30T10:01:13+08:00 ] /thinkmao/Index.php/Cart | NOTIC: [8] Undefined offset: 186 common.php 第 146 行.
[ 2013-01-30T10:01:13+08:00 ] /thinkmao/Index.php/Cart | NOTIC: [8] Undefined offset: 187 common.php 第 146 行.
[ 2013-01-30T10:01:13+08:00 ] /thinkmao/Index.php/Cart | NOTIC: [8] Undefined offset: 188 common.php 第 146 行.
[ 2013-01-30T10:01:13+08:00 ] /thinkmao/Index.php/Cart | NOTIC: [8] Undefined offset: 189 common.php 第 146 行.
[ 2013-01-30T10:01:13+08:00 ] /thinkmao/Index.php/Cart | NOTIC: [8] Undefined offset: 190 common.php 第 146 行.
[ 2013-01-30T10:01:13+08:00 ] /thinkmao/Index.php/Cart | NOTIC: [8] Undefined offset: 191 common.php 第 146 行.
