[ 2013-01-29T12:23:31+08:00 ] /thinkmao/Index.php/Good/ajaxx | INFO: Tag[ route_check ] --START--
[ 2013-01-29T12:23:31+08:00 ] /thinkmao/Index.php/Good/ajaxx | INFO: Run CheckRoute Behavior [ RunTime:0.000102s ]
[ 2013-01-29T12:23:31+08:00 ] /thinkmao/Index.php/Good/ajaxx | INFO: Tag[ route_check ] --END-- [ RunTime:0.000326s ]
[ 2013-01-29T12:23:31+08:00 ] /thinkmao/Index.php/Good/ajaxx | INFO: Tag[ app_begin ] --START--
[ 2013-01-29T12:23:31+08:00 ] /thinkmao/Index.php/Good/ajaxx | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000053s ]
[ 2013-01-29T12:23:31+08:00 ] /thinkmao/Index.php/Good/ajaxx | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000079s ]
[ 2013-01-29T12:23:31+08:00 ] /thinkmao/Index.php/Good/ajaxx | SQL: SHOW COLUMNS FROM `hd_goods` [ RunTime:0.000698s ]
[ 2013-01-29T12:23:31+08:00 ] /thinkmao/Index.php/Good/ajaxx | SQL: SELECT * FROM `hd_goods` WHERE ( `id` = '11' ) LIMIT 1   [ RunTime:0.000229s ]
[ 2013-01-29T12:23:31+08:00 ] /thinkmao/Index.php/Good/ajaxx | SQL: SHOW COLUMNS FROM `hd_goods_attr` [ RunTime:0.000398s ]
[ 2013-01-29T12:23:31+08:00 ] /thinkmao/Index.php/Good/ajaxx | SQL: SELECT * FROM `hd_goods_attr` WHERE ( `gid` = '11' )  [ RunTime:0.000262s ]
[ 2013-01-29T12:23:33+08:00 ] /thinkmao/Index.php/Good/ajaxx | INFO: Tag[ route_check ] --START--
[ 2013-01-29T12:23:33+08:00 ] /thinkmao/Index.php/Good/ajaxx | INFO: Run CheckRoute Behavior [ RunTime:0.000158s ]
[ 2013-01-29T12:23:33+08:00 ] /thinkmao/Index.php/Good/ajaxx | INFO: Tag[ route_check ] --END-- [ RunTime:0.000391s ]
[ 2013-01-29T12:23:33+08:00 ] /thinkmao/Index.php/Good/ajaxx | INFO: Tag[ app_begin ] --START--
[ 2013-01-29T12:23:33+08:00 ] /thinkmao/Index.php/Good/ajaxx | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000146s ]
[ 2013-01-29T12:23:33+08:00 ] /thinkmao/Index.php/Good/ajaxx | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000225s ]
[ 2013-01-29T12:23:33+08:00 ] /thinkmao/Index.php/Good/ajaxx | SQL: SHOW COLUMNS FROM `hd_goods` [ RunTime:0.001515s ]
[ 2013-01-29T12:23:33+08:00 ] /thinkmao/Index.php/Good/ajaxx | SQL: SELECT * FROM `hd_goods` WHERE ( `id` = '11' ) LIMIT 1   [ RunTime:0.000587s ]
[ 2013-01-29T12:23:33+08:00 ] /thinkmao/Index.php/Good/ajaxx | SQL: SHOW COLUMNS FROM `hd_goods_attr` [ RunTime:0.000463s ]
[ 2013-01-29T12:23:33+08:00 ] /thinkmao/Index.php/Good/ajaxx | SQL: SELECT * FROM `hd_goods_attr` WHERE ( `gid` = '11' )  [ RunTime:0.000358s ]
[ 2013-01-29T12:23:35+08:00 ] /thinkmao/Index.php/Good/check_login | INFO: Tag[ route_check ] --START--
[ 2013-01-29T12:23:35+08:00 ] /thinkmao/Index.php/Good/check_login | INFO: Run CheckRoute Behavior [ RunTime:0.000067s ]
[ 2013-01-29T12:23:35+08:00 ] /thinkmao/Index.php/Good/check_login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000170s ]
[ 2013-01-29T12:23:35+08:00 ] /thinkmao/Index.php/Good/check_login | INFO: Tag[ app_begin ] --START--
[ 2013-01-29T12:23:35+08:00 ] /thinkmao/Index.php/Good/check_login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000056s ]
[ 2013-01-29T12:23:35+08:00 ] /thinkmao/Index.php/Good/check_login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000085s ]
[ 2013-01-29T12:23:35+08:00 ] /thinkmao/Index.php/Good/check_login | NOTIC: [8] A session had already been started - ignoring session_start() GoodAction.class.php 第 50 行.
[ 2013-01-29T12:23:35+08:00 ] /thinkmao/Index.php/Good/check_login | NOTIC: [8] Use of undefined constant id - assumed 'id' GoodAction.class.php 第 51 行.
[ 2013-01-29T12:23:35+08:00 ] /thinkmao/Index.php/Good/ajaxx | INFO: Tag[ route_check ] --START--
[ 2013-01-29T12:23:35+08:00 ] /thinkmao/Index.php/Good/ajaxx | INFO: Run CheckRoute Behavior [ RunTime:0.000068s ]
