[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | INFO: Tag[ app_begin ] --START--
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000065s ]
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000166s ]
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | INFO: Tag[ view_template ] --START--
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000035s ]
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000063s ]
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | INFO: Tag[ view_parse ] --START--
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined index: cate TagLib.class.php 第 122 行.
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined index: cate TagLib.class.php 第 122 行.
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined index: cate TagLib.class.php 第 122 行.
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.000458s ]
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 0 )  [ RunTime:0.000183s ]
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '22' )  [ RunTime:0.000132s ]
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | NOTIC: [2] Invalid argument supplied for foreach() f9c22b8b40e560036663a0ce7ed378ae.php 第 12 行.
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '21' )  [ RunTime:0.000104s ]
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | NOTIC: [2] Invalid argument supplied for foreach() f9c22b8b40e560036663a0ce7ed378ae.php 第 12 行.
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '20' )  [ RunTime:0.000098s ]
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | NOTIC: [2] Invalid argument supplied for foreach() f9c22b8b40e560036663a0ce7ed378ae.php 第 12 行.
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '14' )  [ RunTime:0.000102s ]
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '19' )  [ RunTime:0.000099s ]
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | NOTIC: [2] Invalid argument supplied for foreach() f9c22b8b40e560036663a0ce7ed378ae.php 第 17 行.
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '18' )  [ RunTime:0.000095s ]
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | NOTIC: [2] Invalid argument supplied for foreach() f9c22b8b40e560036663a0ce7ed378ae.php 第 17 行.
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '17' )  [ RunTime:0.000094s ]
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | NOTIC: [2] Invalid argument supplied for foreach() f9c22b8b40e560036663a0ce7ed378ae.php 第 17 行.
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '16' )  [ RunTime:0.000095s ]
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | NOTIC: [2] Invalid argument supplied for foreach() f9c22b8b40e560036663a0ce7ed378ae.php 第 17 行.
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '15' )  [ RunTime:0.000112s ]
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '23' )  [ RunTime:0.000115s ]
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | NOTIC: [2] Invalid argument supplied for foreach() f9c22b8b40e560036663a0ce7ed378ae.php 第 12 行.
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '24' )  [ RunTime:0.000099s ]
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | NOTIC: [2] Invalid argument supplied for foreach() f9c22b8b40e560036663a0ce7ed378ae.php 第 12 行.
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '25' )  [ RunTime:0.000081s ]
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | NOTIC: [2] Invalid argument supplied for foreach() f9c22b8b40e560036663a0ce7ed378ae.php 第 12 行.
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '26' )  [ RunTime:0.000095s ]
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | NOTIC: [2] Invalid argument supplied for foreach() f9c22b8b40e560036663a0ce7ed378ae.php 第 12 行.
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '27' )  [ RunTime:0.000096s ]
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | NOTIC: [2] Invalid argument supplied for foreach() f9c22b8b40e560036663a0ce7ed378ae.php 第 12 行.
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '28' )  [ RunTime:0.000093s ]
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | NOTIC: [2] Invalid argument supplied for foreach() f9c22b8b40e560036663a0ce7ed378ae.php 第 12 行.
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '29' )  [ RunTime:0.000092s ]
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | NOTIC: [2] Invalid argument supplied for foreach() f9c22b8b40e560036663a0ce7ed378ae.php 第 12 行.
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '30' )  [ RunTime:0.000093s ]
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | NOTIC: [2] Invalid argument supplied for foreach() f9c22b8b40e560036663a0ce7ed378ae.php 第 12 行.
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '31' )  [ RunTime:0.000095s ]
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | NOTIC: [2] Invalid argument supplied for foreach() f9c22b8b40e560036663a0ce7ed378ae.php 第 12 行.
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '32' )  [ RunTime:0.000082s ]
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | NOTIC: [2] Invalid argument supplied for foreach() f9c22b8b40e560036663a0ce7ed378ae.php 第 12 行.
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '33' )  [ RunTime:0.000092s ]
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | NOTIC: [2] Invalid argument supplied for foreach() f9c22b8b40e560036663a0ce7ed378ae.php 第 12 行.
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.010785s ]
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010816s ]
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | INFO: Tag[ view_filter ] --START--
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000152s ]
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000068s ]
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000030s ]
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000076s ]
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000409s ]
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | INFO: Tag[ view_end ] --START--
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.001200s ]
[ 2013-01-27T01:04:26+08:00 ] /thinkmao/Index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001256s ]
[ 2013-01-27T01:10:48+08:00 ] /thinkmao/Index.php | INFO: Tag[ app_begin ] --START--
[ 2013-01-27T01:10:48+08:00 ] /thinkmao/Index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000210s ]
[ 2013-01-27T01:10:48+08:00 ] /thinkmao/Index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000510s ]
[ 2013-01-27T01:10:48+08:00 ] /thinkmao/Index.php | INFO: Tag[ view_template ] --START--
[ 2013-01-27T01:10:48+08:00 ] /thinkmao/Index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000119s ]
[ 2013-01-27T01:10:48+08:00 ] /thinkmao/Index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000225s ]
[ 2013-01-27T01:10:48+08:00 ] /thinkmao/Index.php | INFO: Tag[ view_parse ] --START--
[ 2013-01-27T01:10:48+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined index: cate TagLib.class.php 第 122 行.
[ 2013-01-27T01:10:48+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined index: cate TagLib.class.php 第 122 行.
[ 2013-01-27T01:10:48+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined index: cate TagLib.class.php 第 122 行.
[ 2013-01-27T01:10:48+08:00 ] /thinkmao/Index.php | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.000520s ]
[ 2013-01-27T01:10:48+08:00 ] /thinkmao/Index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 0 )  [ RunTime:0.000185s ]
[ 2013-01-27T01:10:48+08:00 ] /thinkmao/Index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '22' )  [ RunTime:0.000112s ]
[ 2013-01-27T01:10:48+08:00 ] /thinkmao/Index.php | NOTIC: [2] Invalid argument supplied for foreach() f9c22b8b40e560036663a0ce7ed378ae.php 第 12 行.
[ 2013-01-27T01:10:48+08:00 ] /thinkmao/Index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '21' )  [ RunTime:0.000137s ]
[ 2013-01-27T01:10:48+08:00 ] /thinkmao/Index.php | NOTIC: [2] Invalid argument supplied for foreach() f9c22b8b40e560036663a0ce7ed378ae.php 第 12 行.
[ 2013-01-27T01:10:48+08:00 ] /thinkmao/Index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '20' )  [ RunTime:0.000101s ]
[ 2013-01-27T01:10:48+08:00 ] /thinkmao/Index.php | NOTIC: [2] Invalid argument supplied for foreach() f9c22b8b40e560036663a0ce7ed378ae.php 第 12 行.
[ 2013-01-27T01:10:48+08:00 ] /thinkmao/Index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '14' )  [ RunTime:0.000097s ]
[ 2013-01-27T01:10:48+08:00 ] /thinkmao/Index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '19' )  [ RunTime:0.000090s ]
[ 2013-01-27T01:10:48+08:00 ] /thinkmao/Index.php | NOTIC: [2] Invalid argument supplied for foreach() f9c22b8b40e560036663a0ce7ed378ae.php 第 17 行.
[ 2013-01-27T01:10:48+08:00 ] /thinkmao/Index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '18' )  [ RunTime:0.000085s ]
[ 2013-01-27T01:10:48+08:00 ] /thinkmao/Index.php | NOTIC: [2] Invalid argument supplied for foreach() f9c22b8b40e560036663a0ce7ed378ae.php 第 17 行.
[ 2013-01-27T01:10:48+08:00 ] /thinkmao/Index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '17' )  [ RunTime:0.000093s ]
[ 2013-01-27T01:10:48+08:00 ] /thinkmao/Index.php | NOTIC: [2] Invalid argument supplied for foreach() f9c22b8b40e560036663a0ce7ed378ae.php 第 17 行.
[ 2013-01-27T01:10:48+08:00 ] /thinkmao/Index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '16' )  [ RunTime:0.000091s ]
[ 2013-01-27T01:10:48+08:00 ] /thinkmao/Index.php | NOTIC: [2] Invalid argument supplied for foreach() f9c22b8b40e560036663a0ce7ed378ae.php 第 17 行.
[ 2013-01-27T01:10:48+08:00 ] /thinkmao/Index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '15' )  [ RunTime:0.000106s ]
[ 2013-01-27T01:10:48+08:00 ] /thinkmao/Index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '23' )  [ RunTime:0.000101s ]
[ 2013-01-27T01:10:48+08:00 ] /thinkmao/Index.php | NOTIC: [2] Invalid argument supplied for foreach() f9c22b8b40e560036663a0ce7ed378ae.php 第 12 行.
[ 2013-01-27T01:10:48+08:00 ] /thinkmao/Index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '24' )  [ RunTime:0.000094s ]
